"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","Epoch..TDB.","e","i..deg.","w..deg.","Node..deg.","q..AU.","Q..AU.","P..yr.","MOID..AU.","A1..AU.d.2.","A2..AU.d.2.","A3..AU.d.2.","DT..d.","ref","Object_name","crush","avg_speed"
"Elephant Moraine 83264",7904,"Valid","L6",17.5,"Found",1983,-76.28778,157.24722,"(-76.28778, 157.24722)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83266",7906,"Valid","L6",55.9,"Found",1983,-76.30333,157.17695,"(-76.30333, 157.17695)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83267",7907,"Valid","H3.6",27.7,"Found",1983,-76.30833,157.31083,"(-76.30833, 157.31083)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83268",7908,"Valid","L6",19.5,"Found",1983,-76.31806,157.19611,"(-76.31806, 157.19611)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83270",7910,"Valid","H6",2.4,"Found",1983,-76.31167,157.18445,"(-76.31167, 157.18445)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83273",7913,"Valid","LL6",146.6,"Found",1983,-76.30694,157.19083,"(-76.30694, 157.19083)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83276",7916,"Valid","L6",48.9,"Found",1983,-76.28889,157.24028,"(-76.28889, 157.24028)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83277",7917,"Valid","L5",52.7,"Found",1983,-76.31972,157.25806,"(-76.31972, 157.25806)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83278",7918,"Valid","H5",71.9,"Found",1983,-76.2825,157.24055,"(-76.2825, 157.24055)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83279",7919,"Valid","L6",35.6,"Found",1983,-76.27889,157.225,"(-76.27889, 157.225)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83280",7920,"Valid","L6",29.1,"Found",1983,-76.32806,157.20167,"(-76.32806, 157.20167)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83281",7921,"Valid","H6",51,"Found",1983,-76.28667,157.24417,"(-76.28667, 157.24417)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83282",7922,"Valid","H5",78.9,"Found",1983,-76.30139,157.27861,"(-76.30139, 157.27861)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83283",7923,"Valid","Eucrite-pmict",57.3,"Found",1983,-76.28667,157.24806,"(-76.28667, 157.24806)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83284",7924,"Valid","L6",53.3,"Found",1983,-76.29722,157.23611,"(-76.29722, 157.23611)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83289",7929,"Valid","L6",7.8,"Found",1983,-76.28361,157.23222,"(-76.28361, 157.23222)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83290",7930,"Valid","LL6",1.4,"Found",1983,-76.27194,157.19833,"(-76.27194, 157.19833)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83291",7931,"Valid","L5",4.7,"Found",1983,-76.32056,157.26139,"(-76.32056, 157.26139)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83292",7932,"Valid","H5",9.3,"Found",1983,-76.31056,157.19889,"(-76.31056, 157.19889)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83293",7933,"Valid","H5",18.6,"Found",1983,-76.29611,157.23917,"(-76.29611, 157.23917)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83297",7937,"Valid","L6",17.5,"Found",1983,-76.30778,157.16611,"(-76.30778, 157.16611)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83300",7940,"Valid","H5",115.1,"Found",1983,-76.28056,157.24028,"(-76.28056, 157.24028)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83302",7942,"Valid","L6",130.4,"Found",1983,-76.28833,157.22834,"(-76.28833, 157.22834)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83303",7943,"Valid","H5",11.8,"Found",1983,-76.29722,157.30528,"(-76.29722, 157.30528)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83305",7945,"Valid","H5",167,"Found",1983,-76.28722,157.22528,"(-76.28722, 157.22528)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83306",7946,"Valid","L6",41.8,"Found",1983,-76.30583,157.30972,"(-76.30583, 157.30972)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83307",7947,"Valid","EH3",4.8,"Found",1983,-76.27611,157.21083,"(-76.27611, 157.21083)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83308",7948,"Valid","L5",136.9,"Found",1983,-76.30361,157.27445,"(-76.30361, 157.27445)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83314",7953,"Valid","L6",23.7,"Found",1983,-76.31028,157.1975,"(-76.31028, 157.1975)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83315",7954,"Valid","L6",113.5,"Found",1983,-76.32972,157.255,"(-76.32972, 157.255)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83316",7955,"Valid","L6",51.1,"Found",1983,-76.32778,157.23056,"(-76.32778, 157.23056)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83317",7956,"Valid","L6",119,"Found",1983,-76.2975,157.23,"(-76.2975, 157.23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83318",7957,"Valid","L4",54.9,"Found",1983,-76.32722,157.17889,"(-76.32722, 157.17889)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83319",7958,"Valid","L6",7.2,"Found",1983,-76.29833,157.18667,"(-76.29833, 157.18667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83323",7962,"Valid","L6",140.5,"Found",1983,-76.3,157.18361,"(-76.3, 157.18361)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83324",7963,"Valid","H5",142.8,"Found",1983,-76.285,157.28889,"(-76.285, 157.28889)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83325",7964,"Valid","L6",93.4,"Found",1983,-76.32472,157.1875,"(-76.32472, 157.1875)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83326",7965,"Valid","H5",112.6,"Found",1983,-76.28278,157.21167,"(-76.28278, 157.21167)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83328",7966,"Valid","L6",88.1,"Found",1983,-76.29667,157.27917,"(-76.29667, 157.27917)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83329",7967,"Valid","L4",67.7,"Found",1983,-76.31778,157.2575,"(-76.31778, 157.2575)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83330",7968,"Valid","L6",49.2,"Found",1983,-76.28444,157.27195,"(-76.28444, 157.27195)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83335",7972,"Valid","L6",226.9,"Found",1983,-76.32333,157.18278,"(-76.32333, 157.18278)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83338",7974,"Valid","H5",26.6,"Found",1983,-76.32833,157.21528,"(-76.32833, 157.21528)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
